scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,returns_10yr
Quant Small Cap Fund,5.0,Equity,Small Cap Mutual Funds,5.4,71.4,23.2,17.58
Quant Tax Plan- Direct Growth,5.0,Equity,ELSS Mutual Funds,0.9,54.9,22.2,16.37
Quant Infrastructure Fund,5.0,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1,16.38
Canara Robeco Small Cap Fund,5.0,Equity,Small Cap Mutual Funds,-0.6,51.8,10.9,16.5
PGIM India Midcap Opportunities Fund,5.0,Equity,Mid Cap Mutual Funds,2.0,42.9,19.0,17.63
Quant Mid Cap Fund,5.0,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8,17.7
Quant Flexi Cap Fund,5.0,Equity,Flexi Cap Funds,6.8,47.7,18.2,17.02
AXIS Small Cap Fund,5.0,Equity,Small Cap Mutual Funds,3.4,34.5,19.4,17.5
Quant Multi Asset Fund,5.0,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5,16.25
Quant Absolute Fund,5.0,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1,15.51
PGIM India Flexi Cap Fund,5.0,Equity,Flexi Cap Funds,-2.3,34.0,15.7,16.8
Quant Large and Mid Cap Fund,5.0,Equity,Large & Mid Cap Funds,6.9,33.0,14.2,13.95
Parag Parikh Flexi Cap Fund,5.0,Equity,Flexi Cap Funds,2.3,33.6,17.6,16.99
SBI Contra Fund,5.0,Equity,Contra Funds,15.0,43.4,15.6,16.0
Invesco India Infrastructure Fund,5.0,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6,15.43
Motilal Oswal Midcap Fund,5.0,Equity,Mid Cap Mutual Funds,14.6,34.0,16.4,17.55
AXIS Midcap Fund,5.0,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8,17.2
Quant Focused Fund,5.0,Equity,Focused Funds,5.2,33.7,13.1,14.88
Mirae Asset Emerging Bluechip Fund,5.0,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1,13.97
IIFL Focused Equity Fund,5.0,Equity,Focused Funds,4.7,29.2,18.1,16.09
Nippon India Consumption Fund,5.0,Equity,Sectoral / Thematic Mutual Funds,12.1,30.6,14.6,15.3
Mirae Asset Tax Saver Fund,5.0,Equity,ELSS Mutual Funds,0.6,30.3,15.3,15.39
HDFC Retirement Savings Fund,5.0,Solution Oriented,Retirement Funds,11.6,34.9,14.8,13.12
Canara Robeco Equity Tax Saver Fund,5.0,Equity,ELSS Mutual Funds,1.2,27.7,15.5,15.72
ICICI Pru Equity & Debt Fund,5.0,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3,14.38
ICICI Pru Infrastructure Fund,5.0,Equity,Sectoral / Thematic Mutual Funds,24.3,44.0,15.1,15.51
ICICI Pru Retirement Fund,5.0,Solution Oriented,Retirement Funds,0.1,31.3,10.9,12.0
SBI Large & Midcap Fund,5.0,Equity,Large & Mid Cap Funds,6.5,30.2,13.6,13.71
Canara Robeco Bluechip Equity Fund,5.0,Equity,Large Cap Mutual Funds,1.7,24.3,14.4,12.61
Baroda BNP Paribas Aggressive Hybrid Fund,5.0,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3,13.65
HDFC Gold Fund,5.0,Other,FoFs Domestic,14.2,12.3,13.4,11.54
Kotak Bluechip Fund,5.0,Equity,Large Cap Mutual Funds,3.3,26.8,12.6,12.62
JM Large Cap Fund,5.0,Equity,Large Cap Mutual Funds,1.8,18.3,10.4,12.27
Mirae Asset Equity Savings Fund,5.0,Hybrid,Equity Savings Mutual Funds,3.7,16.1,10.9,10.35
Kotak Debt Hybrid Fund,5.0,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0,9.85
Canara Robeco Conservative Hybrid Fund,5.0,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4,9.74
Edelweiss Equity Savings Fund,5.0,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0,10.07
